epoch: 1 CAM_loss:0.382(L_cam: 0.655, L_ce: 0.382) train_acc: 97.390% test_acc:97.090%, train_f1: 0.973 test_f1: 0.971
epoch: 35 CAM_loss:0.019(L_cam: 0.006, L_ce: 0.000) train_acc: 99.998% test_acc:98.860%, train_f1: 1.000 test_f1: 0.985
epoch: 36 CAM_loss:0.018(L_cam: 0.006, L_ce: 0.000) train_acc: 100.000% test_acc:98.880%, train_f1: 1.000 test_f1: 0.989
epoch: 37 CAM_loss:0.019(L_cam: 0.006, L_ce: 0.000) train_acc: 100.000% test_acc:98.810%, train_f1: 1.000 test_f1: 0.988
epoch: 38 CAM_loss:0.018(L_cam: 0.006, L_ce: 0.000) train_acc: 100.000% test_acc:98.830%, train_f1: 1.000 test_f1: 0.988
epoch: 39 CAM_loss:0.017(L_cam: 0.006, L_ce: 0.000) train_acc: 100.000% test_acc:98.760%, train_f1: 1.000 test_f1: 0.988
epoch: 40 CAM_loss:0.017(L_cam: 0.005, L_ce: 0.000) train_acc: 100.000% test_acc:98.790%, train_f1: 1.000 test_f1: 0.988
epoch: 41 CAM_loss:0.016(L_cam: 0.005, L_ce: 0.000) train_acc: 100.000% test_acc:98.720%, train_f1: 1.000 test_f1: 0.987
epoch: 42 CAM_loss:0.042(L_cam: 0.009, L_ce: 0.016) train_acc: 97.507% test_acc:96.070%, train_f1: 0.974 test_f1: 0.958
epoch: 43 CAM_loss:0.050(L_cam: 0.010, L_ce: 0.020) train_acc: 99.413% test_acc:98.250%, train_f1: 0.994 test_f1: 0.982
epoch: 44 CAM_loss:0.029(L_cam: 0.007, L_ce: 0.007) train_acc: 99.885% test_acc:98.450%, train_f1: 0.999 test_f1: 0.984
epoch: 45 CAM_loss:0.022(L_cam: 0.006, L_ce: 0.003) train_acc: 99.948% test_acc:98.630%, train_f1: 0.999 test_f1: 0.987
epoch: 46 CAM_loss:0.022(L_cam: 0.006, L_ce: 0.003) train_acc: 99.990% test_acc:98.820%, train_f1: 1.000 test_f1: 0.988
epoch: 47 CAM_loss:0.019(L_cam: 0.006, L_ce: 0.001) train_acc: 99.985% test_acc:98.770%, train_f1: 1.000 test_f1: 0.988
epoch: 48 CAM_loss:0.019(L_cam: 0.006, L_ce: 0.002) train_acc: 99.998% test_acc:98.870%, train_f1: 1.000 test_f1: 0.989
epoch: 49 CAM_loss:0.027(L_cam: 0.007, L_ce: 0.006) train_acc: 99.955% test_acc:98.710%, train_f1: 1.000 test_f1: 0.987
epoch: 50 CAM_loss:0.020(L_cam: 0.006, L_ce: 0.002) train_acc: 99.582% test_acc:98.190%, train_f1: 0.996 test_f1: 0.982
